epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,4755.91,0.4072,0.45066,0.98022,0,0,0,0,0,0,0,0.000614,0.000614,0.000614
72,4824.43,0.40474,0.4698,0.97296,0,0,0,0,0,0,0,0.0005942,0.0005942,0.0005942
73,4893.06,0.38985,0.42713,0.95826,0,0,0,0,0,0,0,0.0005744,0.0005744,0.0005744
74,4961.6,0.3894,0.44184,0.97375,0,0,0,0,0,0,0,0.0005546,0.0005546,0.0005546
75,5029.72,0.3932,0.43786,0.97096,0,0,0,0,0,0,0,0.0005348,0.0005348,0.0005348
76,5098.36,0.36646,0.41124,0.95622,0,0,0,0,0,0,0,0.000515,0.000515,0.000515
77,5166.97,0.37694,0.41376,0.9606,0,0,0,0,0,0,0,0.0004952,0.0004952,0.0004952
78,5235.65,0.36555,0.40709,0.95755,0,0,0,0,0,0,0,0.0004754,0.0004754,0.0004754
79,5304.35,0.3601,0.40134,0.95347,0,0,0,0,0,0,0,0.0004556,0.0004556,0.0004556
80,5373.17,0.34499,0.38157,0.94799,0,0,0,0,0,0,0,0.0004358,0.0004358,0.0004358
81,5441.02,0.36631,0.40867,0.96211,0,0,0,0,0,0,0,0.000416,0.000416,0.000416
82,5506.84,0.34673,0.3804,0.94445,0,0,0,0,0,0,0,0.0003962,0.0003962,0.0003962
83,5572.7,0.35195,0.394,0.94644,0,0,0,0,0,0,0,0.0003764,0.0003764,0.0003764
84,5638.56,0.34325,0.37971,0.94601,0,0,0,0,0,0,0,0.0003566,0.0003566,0.0003566
85,5704.41,0.33978,0.37549,0.94258,0,0,0,0,0,0,0,0.0003368,0.0003368,0.0003368
86,5770.21,0.33699,0.37231,0.94515,0,0,0,0,0,0,0,0.000317,0.000317,0.000317
87,5836.12,0.33519,0.3647,0.94508,0,0,0,0,0,0,0,0.0002972,0.0002972,0.0002972
88,5901.93,0.33817,0.37484,0.94247,0,0,0,0,0,0,0,0.0002774,0.0002774,0.0002774
89,5967.73,0.33105,0.37069,0.94946,0,0,0,0,0,0,0,0.0002576,0.0002576,0.0002576
90,6033.54,0.33577,0.36927,0.94511,0,0,0,0,0,0,0,0.0002378,0.0002378,0.0002378
91,6099.85,1.2394,1.60413,1.61726,0,0,0,0,0,0,0,0.000218,0.000218,0.000218
92,6165.58,1.15849,1.44185,1.50897,0,0,0,0,0,0,0,0.0001982,0.0001982,0.0001982
93,6231.21,1.13593,1.58929,1.48283,0,0,0,0,0,0,0,0.0001784,0.0001784,0.0001784
94,6296.95,1.14817,1.39382,1.51915,0,0,0,0,0,0,0,0.0001586,0.0001586,0.0001586
95,6362.64,1.11342,1.37561,1.4623,0,0,0,0,0,0,0,0.0001388,0.0001388,0.0001388
96,6428.41,1.10309,1.34062,1.50021,0,0,0,0,0,0,0,0.000119,0.000119,0.000119
97,6494.18,1.07236,1.27963,1.46867,0,0,0,0,0,0,0,9.92e-05,9.92e-05,9.92e-05
98,6559.91,1.01373,1.35781,1.39782,0,0,0,0,0,0,0,7.94e-05,7.94e-05,7.94e-05
99,6625.68,1.09196,1.21342,1.47072,0,0,0,0,0,0,0,5.96e-05,5.96e-05,5.96e-05
100,6699.72,1.03851,1.1623,1.42261,0,0,0,0,0,55.142,0,3.98e-05,3.98e-05,3.98e-05
1,19.8161,1.42211,2.68741,1.50377,0,0,0,0,0,0,0,0.000663477,0.000663477,0.000663477
1,19.4554,1.38794,2.74684,1.50107,0,0,0,0,0,0,0,0.000663477,0.000663477,0.000663477
2,37.9433,1.65155,2.38654,1.73912,0,0,0,0,0,0,0,0.00129722,0.00129722,0.00129722
3,56.5933,1.63064,2.12023,1.73924,0,0,0,0,0,0,0,0.00189797,0.00189797,0.00189797
4,75.1195,1.5712,1.92479,1.68038,0,0,0,0,0,0,0,0.0018515,0.0018515,0.0018515
5,93.6253,1.45107,1.74182,1.6035,0,0,0,0,0,0,0,0.001802,0.001802,0.001802
6,112.532,1.39272,1.66696,1.56094,0,0,0,0,0,0,0,0.0017525,0.0017525,0.0017525
7,131.573,1.25659,1.42495,1.45204,0,0,0,0,0,0,0,0.001703,0.001703,0.001703
8,150.623,1.20829,1.38307,1.42217,0,0,0,0,0,0,0,0.0016535,0.0016535,0.0016535
9,169.83,1.15791,1.30226,1.38923,0,0,0,0,0,0,0,0.001604,0.001604,0.001604
10,189.283,1.08381,1.22845,1.32926,0,0,0,0,0,0,0,0.0015545,0.0015545,0.0015545
11,208.012,1.03215,1.13678,1.29909,0,0,0,0,0,0,0,0.001505,0.001505,0.001505
12,226.977,1.00159,1.13333,1.28218,0,0,0,0,0,0,0,0.0014555,0.0014555,0.0014555
13,246.133,0.98237,1.08369,1.25757,0,0,0,0,0,0,0,0.001406,0.001406,0.001406
